,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
41,120040,Rio Branco,AC,2004,Departamento Estadual de Pavimentação e Saneamento,93263.0,22119.0,22490.0,636.3,13197.1,10520.6,4307.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088847.09,10759527.48,600887.0,1080020.57,726275.41,13317392.0,13990364.43,0.0,150681.54,0.0
42,120040,Rio Branco,AC,2003,Serviço de Água e Esgoto de Rio Branco,188982.0,37645.0,41996.0,552.2,22354.2,21668.9,5534.4,12301.0,14747.0,118.6,4333.8,0.0,2350.2,12301.0,59873.0,5274533.45,3346742.18,794239.53,1767984.07,1399055.56,7359454.34,7359454.34,0.0,51433.0,0.0
44,120040,Rio Branco,AC,2002,Serviço de Água e Esgoto de Rio Branco,183303.0,35624.0,41493.0,552.2,24610.0,23907.0,6344.3,12035.0,14582.0,118.6,5906.4,0.0,2094.0,12035.0,65473.0,5192852.0,3147146.0,1141000.0,1734351.0,1407272.0,7481054.0,7481054.0,0.0,51285.0,0.0
47,120040,Rio Branco,AC,2001,Serviço de Água e Esgoto de Rio Branco,175425.0,35085.0,38988.0,535.0,25059.0,25059.0,8052.0,11946.0,13379.0,108.0,0.0,0.0,2445.0,11946.0,53516.0,4540299.0,2713503.68,984337.5,1272895.63,1041155.66,6061892.47,6061892.47,0.0,50000.0,0.0
49,120040,Rio Branco,AC,2000,Serviço de Água e Esgoto de Rio Branco,152972.0,34375.0,38243.0,535.0,25650.0,25650.0,7320.0,11946.0,13379.0,108.0,0.0,0.0,1896.0,11946.0,0.0,5553463.44,2738490.98,602740.46,410704.27,1000081.48,4805102.72,4805102.72,0.0,53085.53,0.0
51,120040,Rio Branco,AC,1998,Departamento Estadual de Pavimentação e Saneamento,47530.0,9865.0,10054.0,283.0,6479.0,5419.0,1985.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4819568.12,4444538.75,153346.88,180321.0,300871.66,7543427.24,7543427.0,0.0,0.0,0.0
52,120040,Rio Branco,AC,1998,Serviço de Água e Esgoto de Rio Branco,220000.0,29743.0,33727.0,439.0,18616.0,0.0,6843.0,8177.0,9674.0,180.0,5084.0,0.0,1368.0,9430.0,0.0,3473018.0,2471372.0,679523.0,597783.0,139458.0,3888136.0,3888136.0,0.0,0.0,0.0
54,120040,Rio Branco,AC,1995,Companhia de Saneamento do Estado do Acre,214000.0,43642.0,48194.0,820.0,18980.0,18615.0,9490.0,9786.0,12078.0,192.0,2190.0,0.0,2190.0,0.0,0.0,7638962.0,10575533.0,460360.0,700910.0,526353.0,13488133.0,19053368.0,0.0,0.0,0.0
101,270130,Cajueiro,AL,2019,Serviço Autônomo de Água e Esgoto,18933.0,6020.0,6317.0,60.2,1942.6,1664.4,1590.23,556.0,560.0,5.0,148.0,62.0,55.0,598.0,2199.0,2599427.61,1446209.38,230184.7,188759.65,315820.0,2327497.54,2590416.93,0.0,16784.88,0.0
102,270130,Cajueiro,AL,2018,Serviço Autônomo de Água e Esgoto,18266.0,5987.0,6115.0,60.2,1937.4,1650.37,1585.33,530.0,556.0,5.0,62.0,62.0,50.0,581.0,2199.0,2456366.44,1337819.48,246349.3,195995.91,330572.16,2307497.54,2453992.71,0.0,17248.26,0.0
103,270130,Cajueiro,AL,2017,Serviço Autônomo de Água e Esgoto,18100.0,5023.0,5023.0,57.2,1445.4,1445.4,1300.86,523.0,523.0,4.2,57.8,57.8,49.34,575.0,2125.0,2281277.17,1174866.83,203688.5,145811.59,398396.73,2048026.64,2281277.17,0.0,45564.13,0.0
